week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank,winner_conference,loser_conference,winner_lat,winner_long,loser_lat,loser_long
2,Illinois,31,,Connecticut,23,,Big Ten,American Athletic Conference,40.6331249,-89.3985283,41.60322070000001,-73.087749
2,Baylor,63,,UTSA,14,,Big 12,Conference USA,31.5497007,-97.1143046,29.5829744,-98.6197293
2,Colorado State,38,,Western Illinois,13,,Mountain West,,39.55005070000001,-105.78206740000002,,
2,Georgia,63,3.0,Murray State,17,,Southeastern,,32.1656221,-82.9000751,,
2,Alabama,62,2.0,New Mexico State,10,,Southeastern,Independents(FBS),32.3182314,-86.902298,32.2787745,-106.7479059
2,San Diego State,23,,UCLA,14,,Mountain West,Pac-12,32.77572170000001,-117.0718893,34.068921,-118.4451811
2,Washington State,59,22.0,Northern Colo.,17,,Pac-12,,47.751074100000004,-120.7401385,,
2,Florida State,45,,Louisiana-Monroe,44,,Atlantic Coast,Sun Belt,30.4418778,-84.29848890000002,32.528282,-92.073415
2,Georgia Southern,26,,Maine,18,,Sun Belt,,32.42054890000001,-81.78653469999998,,
2,East Carolina,48,,Gardner-Webb,9,,American Athletic Conference,,35.6055108,-77.3645653,,
2,Duke,45,,N.C. A&T,13,,Atlantic Coast,,36.0014258,-78.9382286,,
2,Coastal Carolina,12,,Kansas,7,,Sun Belt,Big 12,33.7965964,-79.01336119999998,39.011902,-98.4842465
2,Louisville,42,,Eastern Kentucky,0,,Atlantic Coast,,38.252664700000004,-85.7584557,,
2,Western Kentucky,20,,Florida International,14,,Conference USA,Conference USA,36.9853543,-86.456138,25.756127499999998,-80.3768786
2,Wyoming,23,,Texas State,14,,Mountain West,Sun Belt,43.075967799999994,-107.29028390000002,29.888410999999998,-97.938351
2,Oklahoma State,56,,McNeese,14,,Big 12,,36.1270236,-97.0737222,,
2,UCF,48,18.0,Florida Atlantic,14,,American Athletic Conference,Conference USA,28.602427399999996,-81.2000599,26.374987599999997,-80.10106329999998
2,Georgia State,48,,Furman,42,,Sun Belt,,33.753068,-84.38528190000002,,
2,South Alabama,37,,Jackson State,14,,Sun Belt,,30.6959406,-88.184236,,
2,Brigham Young,29,,Tennessee,26,,Independents(FBS),Southeastern,40.2518435,-111.6493156,35.517491299999996,-86.5804473
2,SMU,49,,North Texas,27,,American Athletic Conference,Conference USA,32.8412178,-96.7845175,33.207488,-97.1525862
2,Middle Tennessee,45,,Tennessee State,26,,Conference USA,,35.8486105,-86.3648813,,
2,Oklahoma,70,4.0,South Dakota,14,,Big 12,,35.007751899999995,-97.092877,,
2,Ole Miss,31,,Arkansas,17,,Southeastern,Southeastern,34.364732399999994,-89.538443,35.20105,-91.83183340000001
2,Kentucky,38,,Eastern Michigan,17,,Southeastern,Mid-American,37.83933320000001,-84.2700179,42.2506803,-83.624089
2,Utah State,62,,Stony Brook,7,,Mountain West,,41.745160999999996,-111.8097425,,
2,Louisiana-Lafayette,35,,Liberty,14,,Sun Belt,Independents(FBS),30.211440399999997,-92.02041209999999,37.1556278,-95.5947005
2,LSU,45,6.0,Texas,38,9.0,Southeastern,Big 12,30.413257899999998,-91.1800023,31.968598800000002,-99.9018131
2,Michigan State,51,19.0,Western Michigan,17,,Big Ten,Mid-American,42.701848,-84.4821719,42.2837336,-85.6102507
2,Oregon,77,16.0,Nevada,6,,Pac-12,Mountain West,43.8041334,-120.55420120000001,38.8026097,-116.419389
2,Penn State,45,15.0,Buffalo,13,,Big Ten,Mid-American,40.7982133,-77.85990840000002,42.88644679999999,-78.8783689
2,Auburn,24,10.0,Tulane,6,,Southeastern,American Athletic Conference,32.6098566,-85.48078249999998,29.940728200000002,-90.1203167
2,Florida,45,11.0,UT Martin,0,,Southeastern,,27.664827399999997,-81.5157535,,
2,Texas Tech,38,,UTEP,3,,Big 12,Conference USA,33.584259100000004,-101.8782822,31.7709368,-106.50464050000001
2,Houston,37,,Prairie View A&M,17,,American Athletic Conference,,29.7604267,-95.36980279999999,,
2,North Carolina,28,,Miami (FL),25,,Atlantic Coast,Atlantic Coast,35.75957310000001,-79.01929969999998,25.7616798,-80.1917902
2,Tulsa,34,,San Jose State,16,,American Athletic Conference,Mountain West,36.1539816,-95.992775,37.3351874,-121.8810715
2,Arkansas State,43,,UNLV,17,,Sun Belt,Mountain West,35.20105,-91.83183340000001,36.1085197,-115.1431709
2,Minnesota,38,,Fresno State,35,,Big Ten,Mountain West,46.729553,-94.6858998,36.8124451,-119.7457805
2,USC,45,,Stanford,20,23.0,Pac-12,Pac-12,34.0223519,-118.285117,37.4274745,-122.169719
2,California,20,,Washington,19,14.0,Pac-12,Pac-12,36.778261,-119.4179324,47.751074100000004,-120.7401385
2,Arizona,65,,Northern Ariz.,41,,Pac-12,,34.048928100000005,-111.0937311,,
2,Hawaii,31,,Oregon State,28,,Mountain West,Pac-12,19.8967662,-155.58278180000005,44.5637806,-123.2794443
