week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank
8,Central Mich.,38,,Bowling Green,20,
8,Ball State,52,,Toledo,14,
8,Kansas St.,24,,TCU,17,
8,Oregon St.,21,,California,17,
8,Miami (Ohio),27,,Northern Ill.,24,
8,Ga. Southern,30,,Coastal Carolina,27,
8,Wyoming,23,,New Mexico,10,
8,Navy,35,,South Florida,3,
8,Virginia,48,,Duke,14,
8,LSU,36,2,Mississippi St.,13,
8,Cincinnati,24,21,Tulsa,13,
8,Virginia Tech,43,,North Carolina,41,
8,SMU,45,19,Temple,21,
8,Louisiana Tech,45,,Southern Miss,30,
8,Appalachian St.,52,24,La.-Monroe,7,
8,Oregon,35,12,Washington,31,25
8,Indiana,34,,Maryland,28,
8,Buffalo,21,,Akron,0,
8,Minnesota,42,20,Rutgers,7,
8,Vanderbilt,21,,Missouri,14,22
8,UAB,38,,Old Dominion,14,
8,North Texas,33,,Middle Tenn.,30,
8,Baylor,45,18,Oklahoma State,27,
8,Western Ky.,30,,Charlotte,14,
8,Utah,21,13,Arizona St.,3,17
8,UTSA,31,,Rice,27,
8,Liberty,59,,Maine,44,
8,Georgia,21,10,Kentucky,0,
8,Washington St.,41,,Colorado,10,
8,Memphis,47,,Tulane,17,
8,Eastern Mich.,34,,Western Mich.,27,
8,Georgia State,28,,Army West Point,21,
8,FIU,32,,UTEP,17,
8,Texas,50,15,Kansas,48,
8,San Diego State,27,,San Jose State,17,
8,UCF,41,,East Carolina,28,
8,Wake Forest,22,,Florida State,20,
8,Texas A&M,24,,Ole Miss,17,
8,Penn St.,28,7,Michigan,21,16
8,Alabama,35,1,Tennessee,13,
8,USC,41,,Arizona,14,
8,Utah State,36,,Nevada,10,
8,BYU,28,,Boise State,25,14
8,Air Force,56,,Hawaii,26,
9,SMU,34,16,Houston,31,
9,USC,35,,Colorado,31,
9,Ohio St. ,38,3,Wisconsin,7,13
9,Iowa,20,20,Northwestern,0,
9,Texas A&M,49,,Mississippi St.,30,
9,Miami (Fla.),16,,Pittsburgh,12,
9,Illinois,24,,Purdue,6,
9,Rutgers,44,,Liberty,34,
9,Kansas St.,48,,Oklahoma,41,5
9,San Jose State,34,,Army West Point,29,
9,Western Mich.,49,,Bowling Green,10,
9,Appalachian St.,30,21,South Alabama,3,
9,Southern Miss,20,,Rice,6,
9,Wyoming,31,,Nevada,3,
9,Ohio,34,,Ball State,21,
9,Marshall,26,,Western Ky.,23,
9,Ga. Southern,41,,New Mexico St.,7,
9,Minnesota,52,17,Maryland,10,
9,Navy,41,,Tulane,38,
9,UConn,56,,Massachusetts,35,
9,Florida Atlantic,41,,Old Dominion,3,
9,Indiana,38,,Nebraska,31,
9,Louisville,28,,Virginia,21,
9,Charlotte,39,,North Texas,38,
9,Middle Tenn.,50,,FIU,17,
9,Oklahoma State,34,,Iowa State,27,23
9,Penn St.,28,6,Mich. St. ,7,
9,LSU,23,2,Auburn,20,9
9,TCU,37,,Texas,27,15
9,Toledo,37,,Eastern Mich.,34,
9,Buffalo,43,,Central Mich.,20,
9,Northern Ill.,49,,Akron,0,
9,Miami (Ohio),23,,Kent State,16,
9,Florida State,35,,Syracuse,17,
9,Stanford,41,,Arizona,31,
9,South Florida,45,,East Carolina,20,
9,North Carolina,20,,Duke,17,
9,Tennessee,41,,South Carolina,21,
9,Hawaii,45,,New Mexico,31,
9,Georgia State,52,,Troy,33,
9,UCF,63,,Temple,21,
9,Kansas,37,,Texas Tech,34,
9,Arkansas State,38,,Texas State,14,
9,Memphis,42,,Tulsa,41,
9,Alabama,48,1,Arkansas,7,
9,Kentucky,29,,Missouri,7,
9,UCLA,42,,Arizona St.,32,24
9,Colorado State,41,,Fresno State,31,
9,Michigan,45,19,Notre Dame,14,8
9,Clemson,59,4,Boston College,7,
9,Louisiana Tech,42,,UTEP,21,
9,Utah,35,12,California,0,
9,Air Force,31,,Utah State,7,
9,Oregon,37,11,Washington St.,35,
9,San Diego State,20,,UNLV,17,
10,Baylor,17,12,West Virginia,14,
10,Ga. Southern,24,,Appalachian St.,21,20
10,Navy,56,,UConn,10,
10,Buffalo,43,,Eastern Mich.,14,
10,Central Mich.,48,,Northern Ill.,10,
10,UCF,44,,Houston,29,
10,FIU,24,,Old Dominion,17,
10,Michigan,38,14,Maryland,7,
10,Texas A&M,45,,UTSA,14,
10,Boston College,58,,Syracuse,27,
10,Purdue,31,,Nebraska,27,
10,Wake Forest,44,23,NC State,10,
10,Liberty,63,,Massachusetts,21,
10,Bowling Green,35,,Akron,6,
10,Notre Dame,21,16,Virginia Tech,20,
10,Coastal Carolina,36,,Troy,35,
10,Charlotte,34,,Middle Tenn.,20,
10,North Texas,52,,UTEP,26,
10,Georgia,24,8,Florida,17,6
10,Colorado State,37,,UNLV,17,
10,Arkansas State,48,,La.-Monroe,41,
10,Miami (Fla.),27,,Florida State,10,
10,Kansas St.,38,22,Kansas,10,
10,Marshall,20,,Rice,7,
10,Oklahoma State,34,,TCU,27,
10,Illinois,38,,Rutgers,10,
10,Air Force,17,,Army West Point,13,
10,Tulane,38,,Tulsa,26,
10,Clemson,59,4,Wofford,14,
10,Utah,33,9,Washington,28,
10,Pittsburgh,20,,Georgia Tech,10,
10,Florida Atlantic,35,,Western Ky.,24,
10,Mississippi St.,54,,Arkansas,24,
10,Oregon St.,56,,Arizona,38,
10,Louisiana,31,,Texas State,3,
10,Indiana,34,,Northwestern,3,
10,Tennessee,30,,UAB,7,
10,Cincinnati,46,17,East Carolina,43,
10,Auburn,20,11,Ole Miss,14,
10,Virginia,38,,North Carolina,31,
10,South Carolina,24,,Vanderbilt,7,
10,Memphis,54,24,SMU,48,15
10,Oregon,56,7,USC,24,
10,UCLA,31,,Colorado,14,
10,BYU,42,,Utah State,14,
10,Boise State,52,21,San Jose State,42,
10,Nevada,21,,New Mexico,10,
10,Fresno State,41,,Hawaii,38,
11,Toledo,35,,Kent State,33,
11,Western Mich.,35,,Ball State,31,
11,Miami (Ohio),24,,Ohio,21,
11,Louisiana,48,,Coastal Carolina,7,
11,Temple,17,,South Florida,7,
11,Tulsa,34,,UCF,31,
11,Washington,19,,Oregon St.,7,
11,Minnesota,31,17,Penn St.,26,4
11,Purdue,24,,Northwestern,22,
11,Ohio St. ,73,1,Maryland,14,
11,Florida State,38,,Boston College,31,
11,SMU,59,25,East Carolina,51,
11,Florida,56,10,Vanderbilt,0,
11,Army West Point,63,,Massachusetts,7,
11,Western Ky.,45,,Arkansas,19,
11,Texas Tech,38,,West Virginia,17,
11,Baylor,29,12,TCU,23,
11,Virginia,33,,Georgia Tech,28,
